Model,Hardware,Activation,Baseline_Accuracy,NPU_Accuracy,Accuracy_Degradation,Degradation_Percentage
MobileNetV2,Apple M4 ANE,SILU,69.57,69.57,0.0,0.0
MobileNetV2,Mobilint-ARIES,SILU,69.57,66.3,3.269999999999996,4.700301854247516
MobileNetV2,DeepX M1,SILU,69.57,67.28,2.289999999999992,3.2916486991519225
MobileNetV2,Hailo-8,SILU,69.57,65.78,3.789999999999992,5.447750467155372
MobileNetV2,Qualcomm QCS6490,SILU,69.57,47.86,21.709999999999994,31.205979588903254
MobileNetV2,RTX PRO 6000 Max-Q,SILU,69.57,69.57,0.0,0.0
MobileNetV2,Apple M4 ANE,SELU,62.73,62.68,0.04999999999999716,0.07970667941973084
MobileNetV2,Mobilint-ARIES,SELU,62.73,36.52,26.209999999999994,41.78224135182528
MobileNetV2,DeepX M1,SELU,62.73,62.61,0.11999999999999744,0.19129603060736083
MobileNetV2,Qualcomm QCS6490,SELU,62.73,53.02,9.709999999999994,15.479037143312603
MobileNetV2,RTX PRO 6000 Max-Q,SELU,62.73,62.73,0.0,0.0
MobileNetV2,Apple M4 ANE,RELU6,67.65,67.71,-0.05999999999998806,-0.08869179600885153
MobileNetV2,Mobilint-ARIES,RELU6,67.65,66.94,0.710000000000008,1.0495195861049638
MobileNetV2,DeepX M1,RELU6,67.65,67.41,0.2400000000000091,0.3547671840354901
MobileNetV2,Hailo-8,RELU6,67.65,67.44,0.21000000000000796,0.3104212860310539
MobileNetV2,Qualcomm QCS6490,RELU6,67.65,66.96,0.6900000000000119,1.0199556541020132
MobileNetV2,RTX PRO 6000 Max-Q,RELU6,67.65,67.65,0.0,0.0
MobileNetV2,Apple M4 ANE,RELU,67.81,67.83,-0.01999999999999602,-0.029494174900451295
MobileNetV2,Mobilint-ARIES,RELU,67.81,67.16,0.6500000000000057,0.9585606842648661
MobileNetV2,DeepX M1,RELU,67.81,67.22,0.5900000000000034,0.8700781595634912
MobileNetV2,Hailo-8,RELU,67.81,67.7,0.10999999999999943,0.16221796195251353
MobileNetV2,Qualcomm QCS6490,RELU,67.81,67.01,0.7999999999999972,1.1797669960182822
MobileNetV2,RTX PRO 6000 Max-Q,RELU,67.81,67.81,0.0,0.0
MobileNetV2,Apple M4 ANE,PRELU,68.62,68.67,-0.04999999999999716,-0.07286505392013576
MobileNetV2,Mobilint-ARIES,PRELU,68.62,67.16,1.460000000000008,2.1276595744680966
MobileNetV2,DeepX M1,PRELU,68.62,0.39,68.23,99.43165257942292
MobileNetV2,Hailo-8,PRELU,68.62,68.38,0.2400000000000091,0.34975225881668476
MobileNetV2,Qualcomm QCS6490,PRELU,68.62,65.7,2.9200000000000017,4.255319148936172
MobileNetV2,RTX PRO 6000 Max-Q,PRELU,68.62,68.62,0.0,0.0
MobileNetV2,Apple M4 ANE,MISH,69.86,69.8,0.060000000000002274,0.08588605782994886
MobileNetV2,Mobilint-ARIES,MISH,69.86,68.0,1.8599999999999994,2.6624677927283127
MobileNetV2,DeepX M1,MISH,69.86,66.95,2.9099999999999966,4.165473804752358
MobileNetV2,Hailo-8,MISH,69.86,65.97,3.8900000000000006,5.568279415974808
MobileNetV2,Qualcomm QCS6490,MISH,69.86,61.16,8.700000000000003,12.453478385342116
MobileNetV2,RTX PRO 6000 Max-Q,MISH,69.86,69.86,0.0,0.0
MobileNetV2,Apple M4 ANE,LEAKYRELU,68.34,68.38,-0.03999999999999204,-0.05853087503657015
MobileNetV2,Mobilint-ARIES,LEAKYRELU,68.34,67.76,0.5799999999999983,0.8486976880304334
MobileNetV2,DeepX M1,LEAKYRELU,68.34,64.6,3.740000000000009,5.472636815920411
MobileNetV2,Hailo-8,LEAKYRELU,68.34,67.78,0.5600000000000023,0.8194322505121485
MobileNetV2,Qualcomm QCS6490,LEAKYRELU,68.34,65.29,3.049999999999997,4.462979221539358
MobileNetV2,RTX PRO 6000 Max-Q,LEAKYRELU,68.34,68.34,0.0,0.0
MobileNetV2,Apple M4 ANE,HARDSWISH,69.05,69.09,-0.04000000000000625,-0.057929036929770104
MobileNetV2,Mobilint-ARIES,HARDSWISH,69.05,63.2,5.849999999999994,8.472121650977545
MobileNetV2,DeepX M1,HARDSWISH,69.05,58.84,10.209999999999994,14.786386676321497
MobileNetV2,Hailo-8,HARDSWISH,69.05,55.53,13.519999999999996,19.580014482259227
MobileNetV2,Qualcomm QCS6490,HARDSWISH,69.05,36.86,32.19,46.6183924692252
MobileNetV2,RTX PRO 6000 Max-Q,HARDSWISH,69.05,69.05,0.0,0.0
MobileNetV2,Apple M4 ANE,GELU,70.42,70.46,-0.03999999999999204,-0.05680204487360415
MobileNetV2,Mobilint-ARIES,GELU,70.42,61.65,8.770000000000003,12.45384833854019
MobileNetV2,DeepX M1,GELU,70.42,67.74,2.680000000000007,3.8057370065322447
MobileNetV2,Hailo-8,GELU,70.42,66.72,3.700000000000003,5.254189150809433
MobileNetV2,Qualcomm QCS6490,GELU,70.42,55.19,15.230000000000004,21.62737858562909
MobileNetV2,RTX PRO 6000 Max-Q,GELU,70.42,70.42,0.0,0.0
MobileNetV2,Apple M4 ANE,ELU,65.86,65.84,0.01999999999999602,0.030367446097777133
MobileNetV2,Mobilint-ARIES,ELU,65.86,63.4,2.460000000000001,3.7351958700273324
MobileNetV2,Hailo-8,ELU,65.86,65.26,0.5999999999999943,0.9110233829334867
MobileNetV2,Qualcomm QCS6490,ELU,65.86,60.3,5.560000000000002,8.442150015183726
MobileNetV2,RTX PRO 6000 Max-Q,ELU,65.86,65.86,0.0,0.0
ResNet18,Apple M4 ANE,SILU,72.54,72.47,0.07000000000000739,0.09649848359526797
ResNet18,Mobilint-ARIES,SILU,72.54,71.25,1.2900000000000063,1.778329197684045
ResNet18,DeepX M1,SILU,72.54,71.84,0.7000000000000028,0.9649848359525818
ResNet18,Hailo-8,SILU,72.54,72.09,0.45000000000000284,0.6203473945409468
ResNet18,Qualcomm QCS6490,SILU,72.54,71.92,0.6200000000000045,0.8547008547008609
ResNet18,RTX PRO 6000 Max-Q,SILU,72.54,72.54,0.0,0.0
ResNet18,Apple M4 ANE,SELU,66.79,66.81,-0.01999999999999602,-0.029944602485396044
ResNet18,Mobilint-ARIES,SELU,66.79,64.51,2.280000000000001,3.4136846833358305
ResNet18,DeepX M1,SELU,66.79,66.72,0.07000000000000739,0.10480610869891807
ResNet18,Qualcomm QCS6490,SELU,66.79,66.46,0.3300000000000125,0.49408594100915176
ResNet18,RTX PRO 6000 Max-Q,SELU,66.79,66.79,0.0,0.0
ResNet18,Apple M4 ANE,RELU6,71.24,71.22,0.01999999999999602,0.02807411566535096
ResNet18,Mobilint-ARIES,RELU6,71.24,71.14,0.09999999999999432,0.14037057832677474
ResNet18,DeepX M1,RELU6,71.24,71.03,0.20999999999999375,0.2947782144862349
ResNet18,Hailo-8,RELU6,71.24,71.0,0.23999999999999488,0.3368893879842713
ResNet18,Qualcomm QCS6490,RELU6,71.24,71.13,0.10999999999999943,0.15440763615946018
ResNet18,RTX PRO 6000 Max-Q,RELU6,71.24,71.24,0.0,0.0
ResNet18,Apple M4 ANE,RELU,71.03,71.04,-0.010000000000005116,-0.014078558355631586
ResNet18,Mobilint-ARIES,RELU,71.03,70.86,0.1700000000000017,0.2393354920456169
ResNet18,DeepX M1,RELU,71.03,70.91,0.12000000000000455,0.168942700267499
ResNet18,Hailo-8,RELU,71.03,70.79,0.23999999999999488,0.337885400534978
ResNet18,Qualcomm QCS6490,RELU,71.03,71.18,-0.15000000000000568,-0.21117837533437375
ResNet18,RTX PRO 6000 Max-Q,RELU,71.03,71.03,0.0,0.0
ResNet18,Apple M4 ANE,PRELU,69.95,69.95,0.0,0.0
ResNet18,Mobilint-ARIES,PRELU,69.95,69.25,0.7000000000000028,1.0007147962830634
ResNet18,DeepX M1,PRELU,69.95,0.1,69.85000000000001,99.85704074338815
ResNet18,Hailo-8,PRELU,69.95,69.56,0.39000000000000057,0.5575411007862766
ResNet18,Qualcomm QCS6490,PRELU,69.95,68.93,1.019999999999996,1.4581844174410237
ResNet18,RTX PRO 6000 Max-Q,PRELU,69.95,69.95,0.0,0.0
ResNet18,Apple M4 ANE,MISH,71.96,71.97,-0.010000000000005116,-0.013896609227355639
ResNet18,Mobilint-ARIES,MISH,71.96,71.11,0.8499999999999943,1.181211784324617
ResNet18,DeepX M1,MISH,71.96,71.86,0.09999999999999432,0.1389660922734774
ResNet18,Hailo-8,MISH,71.96,71.64,0.3199999999999932,0.4446914952751434
ResNet18,Qualcomm QCS6490,MISH,71.96,71.82,0.14000000000000057,0.19455252918288019
ResNet18,RTX PRO 6000 Max-Q,MISH,71.96,71.96,0.0,0.0
ResNet18,Apple M4 ANE,LEAKYRELU,71.54,71.5,0.04000000000000625,0.05591277606934058
ResNet18,Mobilint-ARIES,LEAKYRELU,71.54,70.98,0.5600000000000023,0.7827788649706489
ResNet18,DeepX M1,LEAKYRELU,71.54,71.17,0.37000000000000455,0.5171931786413259
ResNet18,Hailo-8,LEAKYRELU,71.54,71.35,0.19000000000001194,0.26558568632934293
ResNet18,Qualcomm QCS6490,LEAKYRELU,71.54,70.42,1.1200000000000045,1.5655577299412977
ResNet18,RTX PRO 6000 Max-Q,LEAKYRELU,71.54,71.54,0.0,0.0
ResNet18,Apple M4 ANE,HARDSWISH,71.43,71.44,-0.009999999999990905,-0.013999720005587154
ResNet18,Mobilint-ARIES,HARDSWISH,71.43,70.79,0.6400000000000006,0.8959820803583936
ResNet18,DeepX M1,HARDSWISH,71.43,70.93,0.5,0.6999860002799944
ResNet18,Hailo-8,HARDSWISH,71.43,70.79,0.6400000000000006,0.8959820803583936
ResNet18,Qualcomm QCS6490,HARDSWISH,71.43,70.01,1.4200000000000017,1.9879602407951862
ResNet18,RTX PRO 6000 Max-Q,HARDSWISH,71.43,71.43,0.0,0.0
ResNet18,Apple M4 ANE,GELU,72.21,72.23,-0.020000000000010232,-0.02769699487607012
ResNet18,Mobilint-ARIES,GELU,72.21,71.48,0.7299999999999898,1.010940312976028
ResNet18,DeepX M1,GELU,72.21,72.16,0.04999999999999716,0.06924248719013594
ResNet18,Hailo-8,GELU,72.21,71.56,0.6499999999999915,0.9001523334718067
ResNet18,Qualcomm QCS6490,GELU,72.21,71.88,0.3299999999999983,0.4570004154549208
ResNet18,RTX PRO 6000 Max-Q,GELU,72.21,72.21,0.0,0.0
ResNet18,Apple M4 ANE,ELU,68.68,68.66,0.020000000000010232,0.029120559114749894
ResNet18,Mobilint-ARIES,ELU,68.68,67.28,1.4000000000000057,2.038439138031458
ResNet18,Hailo-8,ELU,68.68,68.47,0.21000000000000796,0.3057658707047291
ResNet18,Qualcomm QCS6490,ELU,68.68,68.59,0.09000000000000341,0.13104251601631245
ResNet18,RTX PRO 6000 Max-Q,ELU,68.68,68.68,0.0,0.0
