task,scenario,accuracy,samples_per_second,accelerator_type,input_resolution,benchmark_model,input_size,model_family,width_multiplier,throughput_offline,relative_flops,throughput_singlestream,multicore_efficiency
Image Classification,Offline,59.23,601.495807,Hailo-8,inputResolution:448,mobilenetv2_w1_0,448,MobileNetV2,1.0,601.495807,4.0,218.354485731227,2.75467575115623
Image Classification,Offline,73.5,106.1414268,Hailo-8,inputResolution:448,resnet101_w1_0,448,ResNet-101,1.0,106.1414268,4.0,22.458938662135466,4.7260214917879715
Image Classification,Offline,71.98,138.3758548,Hailo-8,inputResolution:448,resnet50_w1_0,448,ResNet-50,1.0,138.3758548,4.0,65.71486781095209,2.1057008772821146
Image Classification,Offline,59.22,640.5538299,Hailo-8,inputResolution:432,mobilenetv2_w1_0,432,MobileNetV2,1.0,640.5538299,3.719387755102041,219.69225403602354,2.9156869126344644
Image Classification,Offline,74.42,121.4289796,Hailo-8,inputResolution:432,resnet101_w1_0,432,ResNet-101,1.0,121.4289796,3.719387755102041,23.071110862473237,5.263248064813068
Image Classification,Offline,72.32,132.6138199,Hailo-8,inputResolution:432,resnet50_w1_0,432,ResNet-50,1.0,132.6138199,3.719387755102041,65.48167847617498,2.0252049578761264
Image Classification,Offline,61.09,656.7933803,Hailo-8,inputResolution:416,mobilenetv2_w1_0,416,MobileNetV2,1.0,656.7933803,3.4489795918367347,225.31391543011395,2.915014720889349
Image Classification,Offline,75.6,127.8351271,Hailo-8,inputResolution:416,resnet101_w1_0,416,ResNet-101,1.0,127.8351271,3.4489795918367347,23.54162121387769,5.430175175218676
Image Classification,Offline,73.04,131.5135185,Hailo-8,inputResolution:416,resnet50_w1_0,416,ResNet-50,1.0,131.5135185,3.4489795918367347,66.24071769899297,1.9853878863090784
Image Classification,Offline,61.71,688.3059081,Hailo-8,inputResolution:400,mobilenetv2_w1_0,400,MobileNetV2,1.0,688.3059081,3.188775510204082,227.534434638693,3.025062598516028
Image Classification,Offline,75.89,125.5166735,Hailo-8,inputResolution:400,resnet101_w1_0,400,ResNet-101,1.0,125.5166735,3.188775510204082,23.143549680188485,5.423397673842821
Image Classification,Offline,73.25,184.1810095,Hailo-8,inputResolution:400,resnet50_w1_0,400,ResNet-50,1.0,184.1810095,3.188775510204082,79.13557520593007,2.327411016103896
Image Classification,Offline,63.24,812.9958353,Hailo-8,inputResolution:384,mobilenetv2_w1_0,384,MobileNetV2,1.0,812.9958353,2.9387755102040813,256.7778711326539,3.166144464528248
Image Classification,Offline,76.45,110.2334569,Hailo-8,inputResolution:384,resnet101_w1_0,384,ResNet-101,1.0,110.2334569,2.9387755102040813,21.511449896101922,5.124408509534048
Image Classification,Offline,73.94,216.5935006,Hailo-8,inputResolution:384,resnet50_w1_0,384,ResNet-50,1.0,216.5935006,2.9387755102040813,88.99152411886419,2.4338666265643503
Image Classification,Offline,63.48,857.4979812,Hailo-8,inputResolution:368,mobilenetv2_w1_0,368,MobileNetV2,1.0,857.4979812,2.6989795918367343,258.34891835239574,3.319146782841749
Image Classification,Offline,76.27,172.1222837,Hailo-8,inputResolution:368,resnet101_w1_0,368,ResNet-101,1.0,172.1222837,2.6989795918367343,26.00811262526459,6.618022852331021
Image Classification,Offline,74.13,236.4356758,Hailo-8,inputResolution:368,resnet50_w1_0,368,ResNet-50,1.0,236.4356758,2.6989795918367343,94.33350796132217,2.506380616068485
Image Classification,Offline,64.7,916.805872,Hailo-8,inputResolution:352,mobilenetv2_w1_0,352,MobileNetV2,1.0,916.805872,2.4693877551020407,271.24709211623156,3.3799657163039423
Image Classification,Offline,77.19,174.7164097,Hailo-8,inputResolution:352,resnet101_w1_0,352,ResNet-101,1.0,174.7164097,2.4693877551020407,23.698533544555456,7.372456585616019
Image Classification,Offline,74.71,255.1238514,Hailo-8,inputResolution:352,resnet50_w1_0,352,ResNet-50,1.0,255.1238514,2.4693877551020407,96.5938502748608,2.6412018019163455
Image Classification,Offline,64.37,958.511626,Hailo-8,inputResolution:336,mobilenetv2_w1_0,336,MobileNetV2,1.0,958.511626,2.25,277.88109829271787,3.4493588512821804
Image Classification,Offline,77.06,184.8142273,Hailo-8,inputResolution:336,resnet101_w1_0,336,ResNet-101,1.0,184.8142273,2.25,25.302526328767698,7.304180811774338
Image Classification,Offline,74.87,274.3359454,Hailo-8,inputResolution:336,resnet50_w1_0,336,ResNet-50,1.0,274.3359454,2.25,107.80748225857516,2.5446837237327182
Image Classification,Offline,65.56,1060.265668,Hailo-8,inputResolution:320,mobilenetv2_w1_0,320,MobileNetV2,1.0,1060.265668,2.0408163265306123,303.5110153650406,3.493335049882097
Image Classification,Offline,77.69,197.1535366,Hailo-8,inputResolution:320,resnet101_w1_0,320,ResNet-101,1.0,197.1535366,2.0408163265306123,23.878032904793248,8.256690883461495
Image Classification,Offline,75.21,532.1249774,Hailo-8,inputResolution:320,resnet50_w1_0,320,ResNet-50,1.0,532.1249774,2.0408163265306123,171.05605513084654,3.1108222213645678
Image Classification,Offline,65.8,1142.98369,Hailo-8,inputResolution:304,mobilenetv2_w1_0,304,MobileNetV2,1.0,1142.98369,1.8418367346938778,300.60568986341553,3.8022689807346324
Image Classification,Offline,78.1,209.1023579,Hailo-8,inputResolution:304,resnet101_w1_0,304,ResNet-101,1.0,209.1023579,1.8418367346938778,23.90262805721655,8.748090686909592
Image Classification,Offline,75.37,334.5130122,Hailo-8,inputResolution:304,resnet50_w1_0,304,ResNet-50,1.0,334.5130122,1.8418367346938778,133.31462095540567,2.50919973970369
Image Classification,Offline,66.54,1252.996366,Hailo-8,inputResolution:288,mobilenetv2_w1_0,288,MobileNetV2,1.0,1252.996366,1.6530612244897962,327.5377154799063,3.8255025506425033
Image Classification,Offline,77.75,228.6282543,Hailo-8,inputResolution:288,resnet101_w1_0,288,ResNet-101,1.0,228.6282543,1.6530612244897962,26.953000712554324,8.482478694608139
Image Classification,Offline,75.29,402.9748771,Hailo-8,inputResolution:288,resnet50_w1_0,288,ResNet-50,1.0,402.9748771,1.6530612244897962,145.27713057147017,2.773835603131998
Image Classification,Offline,66.13,1353.773289,Hailo-8,inputResolution:272,mobilenetv2_w1_0,272,MobileNetV2,1.0,1353.773289,1.4744897959183672,332.04092909684596,4.077127758563604
Image Classification,Offline,78.05,222.5893694,Hailo-8,inputResolution:272,resnet101_w1_0,272,ResNet-101,1.0,222.5893694,1.4744897959183672,24.398118526110057,9.123218626952413
Image Classification,Offline,75.55,418.7854213,Hailo-8,inputResolution:272,resnet50_w1_0,272,ResNet-50,1.0,418.7854213,1.4744897959183672,138.90112389792833,3.0149894367143135
Image Classification,Offline,66.54,1761.957139,Hailo-8,inputResolution:256,mobilenetv2_w1_0,256,MobileNetV2,1.0,1761.957139,1.3061224489795917,440.15716265734875,4.003018213682096
Image Classification,Offline,78.33,294.7569047,Hailo-8,inputResolution:256,resnet101_w1_0,256,ResNet-101,1.0,294.7569047,1.3061224489795917,24.117104058111565,12.221902927887449
Image Classification,Offline,76.06,798.887881,Hailo-8,inputResolution:256,resnet50_w1_0,256,ResNet-50,1.0,798.887881,1.3061224489795917,214.94847673083123,3.716648255202132
Image Classification,Offline,66.52,1974.971392,Hailo-8,inputResolution:240,mobilenetv2_w1_0,240,MobileNetV2,1.0,1974.971392,1.1479591836734693,456.4700257503734,4.326617917032824
Image Classification,Offline,78.29,307.0536416,Hailo-8,inputResolution:240,resnet101_w1_0,240,ResNet-101,1.0,307.0536416,1.1479591836734693,24.601905538674547,12.480888568460978
Image Classification,Offline,75.78,860.6905751,Hailo-8,inputResolution:240,resnet50_w1_0,240,ResNet-50,1.0,860.6905751,1.1479591836734693,224.41038485051595,3.835342003772787
Image Classification,Offline,67.78,2278.63136,Hailo-8,inputResolution:224,mobilenetv2_w1_0,224,MobileNetV2,1.0,2278.63136,1.0,484.5105339940115,4.702955250975335
Image Classification,Offline,79.21,321.6487007,Hailo-8,inputResolution:224,resnet101_w1_0,224,ResNet-101,1.0,321.6487007,1.0,24.758024231629026,12.991695043624901
Image Classification,Offline,76.94,923.2832946,Hailo-8,inputResolution:224,resnet50_w1_0,224,ResNet-50,1.0,923.2832946,1.0,237.05297329015957,3.894839544872002
Image Classification,Offline,65.1,2318.713184,Hailo-8,inputResolution:208,mobilenetv2_w1_0,208,MobileNetV2,1.0,2318.713184,0.8622448979591837,478.1716051344631,4.84912353452684
Image Classification,Offline,77.41,371.2191904,Hailo-8,inputResolution:208,resnet101_w1_0,208,ResNet-101,1.0,371.2191904,0.8622448979591837,27.48155011087158,13.507942197669093
Image Classification,Offline,75.38,1226.123474,Hailo-8,inputResolution:208,resnet50_w1_0,208,ResNet-50,1.0,1226.123474,0.8622448979591837,253.97758860410607,4.82768373673809
Image Classification,Offline,64.82,2562.621237,Hailo-8,inputResolution:192,mobilenetv2_w1_0,192,MobileNetV2,1.0,2562.621237,0.7346938775510203,496.87871622423944,5.157438129918809
Image Classification,Offline,77.13,379.0971686,Hailo-8,inputResolution:192,resnet101_w1_0,192,ResNet-101,1.0,379.0971686,0.7346938775510203,25.09769135814085,15.104862164026635
Image Classification,Offline,74.54,1468.144503,Hailo-8,inputResolution:192,resnet50_w1_0,192,ResNet-50,1.0,1468.144503,0.7346938775510203,284.0741590454948,5.168173366887887
Image Classification,Offline,63.93,2811.654124,Hailo-8,inputResolution:176,mobilenetv2_w1_0,176,MobileNetV2,1.0,2811.654124,0.6173469387755102,506.50050651468854,5.551137832709082
Image Classification,Offline,72.02,1763.89766,Hailo-8,inputResolution:160,resnet50_w1_0,160,ResNet-50,1.0,1763.89766,0.5102040816326531,293.31760637852875,6.0136098946739525
Image Classification,Offline,58.79,3788.192907,Hailo-8,inputResolution:144,mobilenetv2_w1_0,144,MobileNetV2,1.0,3788.192907,0.41326530612244905,550.4629160828906,6.881831266594462
Image Classification,Offline,48.42,5648.662426,Hailo-8,inputResolution:112,mobilenetv2_w1_0,112,MobileNetV2,1.0,5648.662426,0.25,739.7880126944634,7.635514943566582
Image Classification,Offline,39.5,7319.195985,Hailo-8,inputResolution:96,mobilenetv2_w1_0,96,MobileNetV2,1.0,7319.195985,0.18367346938775508,769.6589867694197,9.509660915831988
Image Classification,Offline,43.62,4794.542593,Hailo-8,inputResolution:80,resnet50_w1_0,80,ResNet-50,1.0,4794.542593,0.12755102040816327,441.1373518253382,10.868593586920584
Image Classification,Offline,65.02,612.8091851,Hailo-8,inputResolution:112,resnet101_w1_0,112,ResNet-101,1.0,612.8091851,0.25,25.499406598591655,24.032291995918282
Image Classification,Offline,62.18,3046.106079,Hailo-8,inputResolution:112,resnet50_w1_0,112,ResNet-50,1.0,3046.106079,0.25,400.7455224443295,7.601098224180801
Image Classification,Offline,29.25,7920.336391,Hailo-8,inputResolution:80,mobilenetv2_w1_0,80,MobileNetV2,1.0,7920.336391,0.12755102040816327,791.3150019605343,10.00908155586189
Image Classification,Offline,16.59,11515.29304,Hailo-8,inputResolution:64,mobilenetv2_w1_0,64,MobileNetV2,1.0,11515.29304,0.08163265306122448,910.635408003811,12.645338561172892
Image Classification,Offline,15.65,759.1666093,Hailo-8,inputResolution:48,resnet101_w1_0,48,ResNet-101,1.0,759.1666093,0.04591836734693877,25.798996029283227,29.426207455449262
Image Classification,Offline,73.47,1399.465001,Hailo-8,inputResolution:176,resnet50_w1_0,176,ResNet-50,1.0,1399.465001,0.6173469387755102,277.45968804909285,5.0438498321687115
Image Classification,Offline,61.53,3281.257274,Hailo-8,inputResolution:160,mobilenetv2_w1_0,160,MobileNetV2,1.0,3281.257274,0.5102040816326531,524.7462389502052,6.253036287719574
Image Classification,Offline,74.85,420.2394503,Hailo-8,inputResolution:160,resnet101_w1_0,160,ResNet-101,1.0,420.2394503,0.5102040816326531,25.357178008078066,16.57280041833219
Image Classification,Offline,53.96,5357.754094,Hailo-8,inputResolution:128,mobilenetv2_w1_0,128,MobileNetV2,1.0,5357.754094,0.32653061224489793,737.2272733770715,7.267438804125272
Image Classification,Offline,69.76,588.283017,Hailo-8,inputResolution:128,resnet101_w1_0,128,ResNet-101,1.0,588.283017,0.32653061224489793,25.221800685475223,23.324386087103665
Image Classification,Offline,66.47,3216.499905,Hailo-8,inputResolution:128,resnet50_w1_0,128,ResNet-50,1.0,3216.499905,0.32653061224489793,413.10659288370306,7.78612580967814
Image Classification,Offline,56.67,663.9214128,Hailo-8,inputResolution:96,resnet101_w1_0,96,ResNet-101,1.0,663.9214128,0.18367346938775508,25.461333208957097,26.075673545894198
Image Classification,Offline,53.84,4084.923879,Hailo-8,inputResolution:96,resnet50_w1_0,96,ResNet-50,1.0,4084.923879,0.18367346938775508,448.19111701072046,9.114245517057606
Image Classification,Offline,6.78,12528.882,Hailo-8,inputResolution:48,mobilenetv2_w1_0,48,MobileNetV2,1.0,12528.882,0.04591836734693877,990.7905679837121,12.645338384171987
Image Classification,Offline,13.8,8464.28477,Hailo-8,inputResolution:48,resnet50_w1_0,48,ResNet-50,1.0,8464.28477,0.04591836734693877,563.3167919206717,15.025798789239664
Image Classification,Offline,75.97,396.2645883,Hailo-8,inputResolution:176,resnet101_w1_0,176,ResNet-101,1.0,396.2645883,0.6173469387755102,25.19440042830823,15.728280156044525
Image Classification,Offline,72.54,439.4433921,Hailo-8,inputResolution:144,resnet101_w1_0,144,ResNet-101,1.0,439.4433921,0.41326530612244905,25.17718936079563,17.454028954648695
Image Classification,Offline,69.76,1941.117063,Hailo-8,inputResolution:144,resnet50_w1_0,144,ResNet-50,1.0,1941.117063,0.41326530612244905,320.4186781161463,6.058064637219364
Image Classification,Offline,46.29,736.9393329,Hailo-8,inputResolution:80,resnet101_w1_0,80,ResNet-101,1.0,736.9393329,0.12755102040816327,28.246730922573093,26.089367117207967
Image Classification,Offline,31.39,729.8884277,Hailo-8,inputResolution:64,resnet101_w1_0,64,ResNet-101,1.0,729.8884277,0.08163265306122448,25.3792904695876,28.759213287488738
Image Classification,Offline,28.43,7449.273532,Hailo-8,inputResolution:64,resnet50_w1_0,64,ResNet-50,1.0,7449.273532,0.08163265306122448,545.5296816543486,13.655120486587771
Image Classification,Offline,74.16,194.0791715,DeepX M1,inputResolution:448,resnet101_w1_0,448,ResNet-101,1.0,194.0791715,4.0,76.28501386875665,2.5441323486405922
Image Classification,Offline,72.78,335.6471812,DeepX M1,inputResolution:432,resnet50_w1_0,432,ResNet-50,1.0,335.6471812,3.719387755102041,131.84520775930386,2.5457670165210424
Image Classification,Offline,72.33,311.8160564,DeepX M1,inputResolution:448,resnet50_w1_0,448,ResNet-50,1.0,311.8160564,4.0,126.30801453731483,2.4686957319551643
Image Classification,Offline,74.99,208.1117673,DeepX M1,inputResolution:432,resnet101_w1_0,432,ResNet-101,1.0,208.1117673,3.719387755102041,81.127522311965,2.5652424894690378
Image Classification,Offline,59.74,642.6677437,DeepX M1,inputResolution:432,mobilenetv2_w1_0,432,MobileNetV2,1.0,642.6677437,3.719387755102041,256.2124089253023,2.508339648324243
Image Classification,Offline,61.84,753.543862,DeepX M1,inputResolution:400,mobilenetv2_w1_0,400,MobileNetV2,1.0,753.543862,3.188775510204082,287.1735174105165,2.624001923279032
Image Classification,Offline,63.54,821.8448128,DeepX M1,inputResolution:384,mobilenetv2_w1_0,384,MobileNetV2,1.0,821.8448128,2.9387755102040813,324.10780990082196,2.535714313862067
Image Classification,Offline,63.89,870.521968,DeepX M1,inputResolution:368,mobilenetv2_w1_0,368,MobileNetV2,1.0,870.521968,2.6989795918367343,319.8456147693006,2.7216942418544434
Image Classification,Offline,66.18,1430.886879,DeepX M1,inputResolution:304,mobilenetv2_w1_0,304,MobileNetV2,1.0,1430.886879,1.8418367346938778,455.6889649910928,3.140051633745331
Image Classification,Offline,77.73,477.544579,DeepX M1,inputResolution:272,resnet101_w1_0,272,ResNet-101,1.0,477.544579,1.4744897959183672,166.16180098288388,2.8739732969624665
Image Classification,Offline,75.84,732.5818277,DeepX M1,inputResolution:272,resnet50_w1_0,272,ResNet-50,1.0,732.5818277,1.4744897959183672,257.66416227476213,2.843165387194226
Image Classification,Offline,66.24,1795.700995,DeepX M1,inputResolution:272,mobilenetv2_w1_0,272,MobileNetV2,1.0,1795.700995,1.4744897959183672,473.653177243796,3.7911727003484814
Image Classification,Offline,73.5,380.7219172,DeepX M1,inputResolution:416,resnet50_w1_0,416,ResNet-50,1.0,380.7219172,3.4489795918367347,143.76571109788793,2.6482108584346107
Image Classification,Offline,61.62,704.7248559,DeepX M1,inputResolution:416,mobilenetv2_w1_0,416,MobileNetV2,1.0,704.7248559,3.4489795918367347,281.9281562688007,2.499661137882551
Image Classification,Offline,75.93,234.0698042,DeepX M1,inputResolution:400,resnet101_w1_0,400,ResNet-101,1.0,234.0698042,3.188775510204082,91.56806733162615,2.5562383374575823
Image Classification,Offline,73.81,379.8579989,DeepX M1,inputResolution:400,resnet50_w1_0,400,ResNet-50,1.0,379.8579989,3.188775510204082,148.73354323469644,2.5539497724504354
Image Classification,Offline,77.62,317.6067215,DeepX M1,inputResolution:336,resnet101_w1_0,336,ResNet-101,1.0,317.6067215,2.25,122.24501185857848,2.598116002208986
Image Classification,Offline,65.91,1246.19371,DeepX M1,inputResolution:320,mobilenetv2_w1_0,320,MobileNetV2,1.0,1246.19371,2.0408163265306123,400.50192310770626,3.111579840441524
Image Classification,Offline,60.06,613.3336595,DeepX M1,inputResolution:448,mobilenetv2_w1_0,448,MobileNetV2,1.0,613.3336595,4.0,267.3737071310163,2.29391912197058
Image Classification,Offline,75.62,252.0527857,DeepX M1,inputResolution:416,resnet101_w1_0,416,ResNet-101,1.0,252.0527857,3.4489795918367347,90.46824302628512,2.7860913097070674
Image Classification,Offline,76.37,290.309616,DeepX M1,inputResolution:384,resnet101_w1_0,384,ResNet-101,1.0,290.309616,2.9387755102040813,104.84663630042678,2.7688977562250923
Image Classification,Offline,74.65,437.4498331,DeepX M1,inputResolution:384,resnet50_w1_0,384,ResNet-50,1.0,437.4498331,2.9387755102040813,165.80622421961507,2.6383197323194887
Image Classification,Offline,74.59,431.5378317,DeepX M1,inputResolution:368,resnet50_w1_0,368,ResNet-50,1.0,431.5378317,2.6989795918367343,167.81867271355205,2.571453013673797
Image Classification,Offline,75.43,520.4059768,DeepX M1,inputResolution:352,resnet50_w1_0,352,ResNet-50,1.0,520.4059768,2.4693877551020407,187.78989268924232,2.7712139846694304
Image Classification,Offline,64.8,1125.023071,DeepX M1,inputResolution:336,mobilenetv2_w1_0,336,MobileNetV2,1.0,1125.023071,2.25,363.5003684992256,3.094970922986552
Image Classification,Offline,75.56,595.9656644,DeepX M1,inputResolution:320,resnet50_w1_0,320,ResNet-50,1.0,595.9656644,2.0408163265306123,214.2210041644488,2.7820132144581926
Image Classification,Offline,77.63,406.3156145,DeepX M1,inputResolution:304,resnet101_w1_0,304,ResNet-101,1.0,406.3156145,1.8418367346938778,143.49623200512463,2.831542046940225
Image Classification,Offline,75.27,609.2702965,DeepX M1,inputResolution:304,resnet50_w1_0,304,ResNet-50,1.0,609.2702965,1.8418367346938778,220.72307000262427,2.7603380856054427
Image Classification,Offline,77.92,458.2733288,DeepX M1,inputResolution:288,resnet101_w1_0,288,ResNet-101,1.0,458.2733288,1.6530612244897962,156.50045053201023,2.9282556519303173
Image Classification,Offline,75.64,712.3869179,DeepX M1,inputResolution:288,resnet50_w1_0,288,ResNet-50,1.0,712.3869179,1.6530612244897962,246.5155223809844,2.8898258049609606
Image Classification,Offline,66.78,1665.23624,DeepX M1,inputResolution:288,mobilenetv2_w1_0,288,MobileNetV2,1.0,1665.23624,1.6530612244897962,464.73770870386994,3.58317435579794
Image Classification,Offline,76.58,264.7458713,DeepX M1,inputResolution:368,resnet101_w1_0,368,ResNet-101,1.0,264.7458713,2.6989795918367343,104.41890231584497,2.535420938435074
Image Classification,Offline,76.74,346.0781523,DeepX M1,inputResolution:352,resnet101_w1_0,352,ResNet-101,1.0,346.0781523,2.4693877551020407,120.48472366772782,2.8723820063231638
Image Classification,Offline,65.27,1100.31144,DeepX M1,inputResolution:352,mobilenetv2_w1_0,352,MobileNetV2,1.0,1100.31144,2.4693877551020407,357.02507431582245,3.0818884138839793
Image Classification,Offline,75.13,520.4391424,DeepX M1,inputResolution:336,resnet50_w1_0,336,ResNet-50,1.0,520.4391424,2.25,194.69386533839076,2.673115259669032
Image Classification,Offline,77.5,393.5466512,DeepX M1,inputResolution:320,resnet101_w1_0,320,ResNet-101,1.0,393.5466512,2.0408163265306123,136.1743666520164,2.8900200593969316
Image Classification,Offline,77.51,641.5474065,DeepX M1,inputResolution:208,resnet101_w1_0,208,ResNet-101,1.0,641.5474065,0.8622448979591837,225.0227072720391,2.851034076860551
Image Classification,Offline,75.53,1035.405381,DeepX M1,inputResolution:208,resnet50_w1_0,208,ResNet-50,1.0,1035.405381,0.8622448979591837,347.0433246419005,2.983504673568903
Image Classification,Offline,65.43,3064.928468,DeepX M1,inputResolution:208,mobilenetv2_w1_0,208,MobileNetV2,1.0,3064.928468,0.8622448979591837,638.06524976987,4.803471853553258
Image Classification,Offline,74.64,1106.428368,DeepX M1,inputResolution:192,resnet50_w1_0,192,ResNet-50,1.0,1106.428368,0.7346938775510203,380.8091472440956,2.9054668880912895
Image Classification,Offline,72.61,767.7491583,DeepX M1,inputResolution:144,resnet101_w1_0,144,ResNet-101,1.0,767.7491583,0.41326530612244905,309.4907186435333,2.4806855651922857
Image Classification,Offline,66.69,1288.621957,DeepX M1,inputResolution:128,resnet50_w1_0,128,ResNet-50,1.0,1288.621957,0.32653061224489793,493.5743738799051,2.610795910797312
Image Classification,Offline,65.08,817.6422097,DeepX M1,inputResolution:112,resnet101_w1_0,112,ResNet-101,1.0,817.6422097,0.25,341.7186772858962,2.392734913391714
Image Classification,Offline,46.81,842.7130558,DeepX M1,inputResolution:80,resnet101_w1_0,80,ResNet-101,1.0,842.7130558,0.12755102040816327,387.85775070005263,2.1727374386072458
Image Classification,Offline,31.39,841.9186819,DeepX M1,inputResolution:64,resnet101_w1_0,64,ResNet-101,1.0,841.9186819,0.08163265306122448,373.0389748636498,2.2569188171496863
Image Classification,Offline,16.46,4662.846125,DeepX M1,inputResolution:64,mobilenetv2_w1_0,64,MobileNetV2,1.0,4662.846125,0.08163265306122448,1007.3631090997114,4.628764030446999
Image Classification,Offline,15.57,851.5818863,DeepX M1,inputResolution:48,resnet101_w1_0,48,ResNet-101,1.0,851.5818863,0.04591836734693877,405.7400035049931,2.0988363950894486
Image Classification,Offline,66.97,2223.099607,DeepX M1,inputResolution:256,mobilenetv2_w1_0,256,MobileNetV2,1.0,2223.099607,1.3061224489795917,536.777975590422,4.141562635007016
Image Classification,Offline,78.05,556.0050827,DeepX M1,inputResolution:240,resnet101_w1_0,240,ResNet-101,1.0,556.0050827,1.1479591836734693,190.7391565930574,2.915002313270361
Image Classification,Offline,66.5,2529.713614,DeepX M1,inputResolution:240,mobilenetv2_w1_0,240,MobileNetV2,1.0,2529.713614,1.1479591836734693,550.4749967276463,4.5955104755677105
Image Classification,Offline,76.15,738.4292386,DeepX M1,inputResolution:176,resnet101_w1_0,176,ResNet-101,1.0,738.4292386,0.6173469387755102,276.71556197164125,2.6685497314953204
Image Classification,Offline,74.73,751.1388994,DeepX M1,inputResolution:160,resnet101_w1_0,160,ResNet-101,1.0,751.1388994,0.5102040816326531,286.406260669931,2.6226343573740882
Image Classification,Offline,61.58,4234.95213,DeepX M1,inputResolution:160,mobilenetv2_w1_0,160,MobileNetV2,1.0,4234.95213,0.5102040816326531,787.8690056972131,5.375198287248705
Image Classification,Offline,53.85,1319.0378,DeepX M1,inputResolution:96,resnet50_w1_0,96,ResNet-50,1.0,1319.0378,0.18367346938775508,522.9509277858058,2.522297466006718
Image Classification,Offline,78.16,573.0055869,DeepX M1,inputResolution:256,resnet101_w1_0,256,ResNet-101,1.0,573.0055869,1.3061224489795917,195.99915636239925,2.923510475935529
Image Classification,Offline,76.05,894.0471933,DeepX M1,inputResolution:256,resnet50_w1_0,256,ResNet-50,1.0,894.0471933,1.3061224489795917,299.6664811254679,2.983474127443936
Image Classification,Offline,75.81,886.4433406,DeepX M1,inputResolution:240,resnet50_w1_0,240,ResNet-50,1.0,886.4433406,1.1479591836734693,299.4394941230379,2.9603420991479696
Image Classification,Offline,77.0,929.2567305,DeepX M1,inputResolution:224,resnet50_w1_0,224,ResNet-50,1.0,929.2567305,1.0,318.4550494151907,2.9180153751886886
Image Classification,Offline,76.83,686.8357284,DeepX M1,inputResolution:192,resnet101_w1_0,192,ResNet-101,1.0,686.8357284,0.7346938775510203,245.56392453781308,2.796973251232747
Image Classification,Offline,73.34,1186.701425,DeepX M1,inputResolution:176,resnet50_w1_0,176,ResNet-50,1.0,1186.701425,0.6173469387755102,410.31993518917847,2.8921368991074488
Image Classification,Offline,64.06,3943.626404,DeepX M1,inputResolution:176,mobilenetv2_w1_0,176,MobileNetV2,1.0,3943.626404,0.6173469387755102,756.9392846048587,5.209963974929207
