task,scenario,accuracy,sample_latency_average,accelerator_type,input_resolution,benchmark_model
Image Classification,Single-Stream,38.69,0.359480448,Mobilint-ARIES,inputResolution:96,mobilenetv2_w1_0
Image Classification,Single-Stream,53.73,0.40687154,Mobilint-ARIES,inputResolution:128,mobilenetv2_w1_0
Image Classification,Single-Stream,69.96,1.155753633,Mobilint-ARIES,inputResolution:144,resnet50_w1_0
Image Classification,Single-Stream,66.49,0.988441851,Mobilint-ARIES,inputResolution:128,resnet50_w1_0
Image Classification,Single-Stream,62.3,0.961010617,Mobilint-ARIES,inputResolution:112,resnet50_w1_0
Image Classification,Single-Stream,53.95,0.925050955,Mobilint-ARIES,inputResolution:96,resnet50_w1_0
Image Classification,Single-Stream,16.21,0.305411689,Mobilint-ARIES,inputResolution:64,mobilenetv2_w1_0
Image Classification,Single-Stream,31.38,1.36214672,Mobilint-ARIES,inputResolution:64,resnet101_w1_0
Image Classification,Single-Stream,6.63,0.292539566,Mobilint-ARIES,inputResolution:48,mobilenetv2_w1_0
Image Classification,Single-Stream,69.99,1.570415548,Mobilint-ARIES,inputResolution:128,resnet101_w1_0
Image Classification,Single-Stream,64.71,1.568526757,Mobilint-ARIES,inputResolution:112,resnet101_w1_0
Image Classification,Single-Stream,46.6,1.48268093,Mobilint-ARIES,inputResolution:80,resnet101_w1_0
Image Classification,Single-Stream,13.73,0.804277208,Mobilint-ARIES,inputResolution:48,resnet50_w1_0
Image Classification,Single-Stream,15.92,1.350954595,Mobilint-ARIES,inputResolution:48,resnet101_w1_0
Image Classification,Single-Stream,57.82,0.468661529,Mobilint-ARIES,inputResolution:144,mobilenetv2_w1_0
Image Classification,Single-Stream,56.65,1.51670799,Mobilint-ARIES,inputResolution:96,resnet101_w1_0
Image Classification,Single-Stream,29.21,0.33737719,Mobilint-ARIES,inputResolution:80,mobilenetv2_w1_0
Image Classification,Single-Stream,43.89,0.873350173,Mobilint-ARIES,inputResolution:80,resnet50_w1_0
Image Classification,Single-Stream,28.74,0.814877338,Mobilint-ARIES,inputResolution:64,resnet50_w1_0
Image Classification,Single-Stream,75.13,13.42124419,Qualcomm QCS6490,inputResolution:448,resnet101_w1_0
Image Classification,Single-Stream,72.57,9.306470905,Qualcomm QCS6490,inputResolution:448,resnet50_w1_0
Image Classification,Single-Stream,61.3,2.692080543,Qualcomm QCS6490,inputResolution:448,mobilenetv2_w1_0
Image Classification,Single-Stream,75.4,13.68090154,Qualcomm QCS6490,inputResolution:432,resnet101_w1_0
Image Classification,Single-Stream,72.85,9.61021154,Qualcomm QCS6490,inputResolution:432,resnet50_w1_0
Image Classification,Single-Stream,61.07,2.547127144,Qualcomm QCS6490,inputResolution:432,mobilenetv2_w1_0
Image Classification,Single-Stream,75.86,13.70571412,Qualcomm QCS6490,inputResolution:416,resnet101_w1_0
Image Classification,Single-Stream,73.39,10.42076072,Qualcomm QCS6490,inputResolution:416,resnet50_w1_0
Image Classification,Single-Stream,62.49,2.471736568,Qualcomm QCS6490,inputResolution:416,mobilenetv2_w1_0
Image Classification,Single-Stream,76.68,13.52924863,Qualcomm QCS6490,inputResolution:400,resnet101_w1_0
Image Classification,Single-Stream,73.41,9.733625654,Qualcomm QCS6490,inputResolution:400,resnet50_w1_0
Image Classification,Single-Stream,62.9,2.382267357,Qualcomm QCS6490,inputResolution:400,mobilenetv2_w1_0
Image Classification,Single-Stream,76.93,9.84091396,Qualcomm QCS6490,inputResolution:384,resnet101_w1_0
Image Classification,Single-Stream,74.24,5.821987848,Qualcomm QCS6490,inputResolution:384,resnet50_w1_0
Image Classification,Single-Stream,64.13,2.044351329,Qualcomm QCS6490,inputResolution:384,mobilenetv2_w1_0
Image Classification,Single-Stream,77.42,9.472832737,Qualcomm QCS6490,inputResolution:368,resnet101_w1_0
Image Classification,Single-Stream,74.47,5.755808971,Qualcomm QCS6490,inputResolution:368,resnet50_w1_0
Image Classification,Single-Stream,64.17,2.0532494,Qualcomm QCS6490,inputResolution:368,mobilenetv2_w1_0
Image Classification,Single-Stream,77.34,9.093012706,Qualcomm QCS6490,inputResolution:352,resnet101_w1_0
Image Classification,Single-Stream,74.97,5.562236766,Qualcomm QCS6490,inputResolution:352,resnet50_w1_0
Image Classification,Single-Stream,65.33,1.963879431,Qualcomm QCS6490,inputResolution:352,mobilenetv2_w1_0
Image Classification,Single-Stream,77.66,11.30858879,Qualcomm QCS6490,inputResolution:336,resnet101_w1_0
Image Classification,Single-Stream,74.6,5.965595836,Qualcomm QCS6490,inputResolution:336,resnet50_w1_0
Image Classification,Single-Stream,64.92,1.825231904,Qualcomm QCS6490,inputResolution:336,mobilenetv2_w1_0
Image Classification,Single-Stream,77.97,7.916810262,Qualcomm QCS6490,inputResolution:320,resnet101_w1_0
Image Classification,Single-Stream,75.54,4.813168263,Qualcomm QCS6490,inputResolution:320,resnet50_w1_0
Image Classification,Single-Stream,66.03,1.615013121,Qualcomm QCS6490,inputResolution:320,mobilenetv2_w1_0
Image Classification,Single-Stream,77.87,7.941776148,Qualcomm QCS6490,inputResolution:304,resnet101_w1_0
Image Classification,Single-Stream,75.42,4.866169325,Qualcomm QCS6490,inputResolution:304,resnet50_w1_0
Image Classification,Single-Stream,66.25,1.639781084,Qualcomm QCS6490,inputResolution:304,mobilenetv2_w1_0
Image Classification,Single-Stream,78.22,7.746262416,Qualcomm QCS6490,inputResolution:288,resnet101_w1_0
Image Classification,Single-Stream,75.67,4.485794428,Qualcomm QCS6490,inputResolution:288,resnet50_w1_0
Image Classification,Single-Stream,67.05,1.478233062,Qualcomm QCS6490,inputResolution:288,mobilenetv2_w1_0
Image Classification,Single-Stream,78.3,7.724174387,Qualcomm QCS6490,inputResolution:272,resnet101_w1_0
Image Classification,Single-Stream,75.87,4.250008085,Qualcomm QCS6490,inputResolution:272,resnet50_w1_0
Image Classification,Single-Stream,66.32,1.438458812,Qualcomm QCS6490,inputResolution:272,mobilenetv2_w1_0
Image Classification,Single-Stream,78.41,5.118402277,Qualcomm QCS6490,inputResolution:256,resnet101_w1_0
Image Classification,Single-Stream,75.75,3.235757445,Qualcomm QCS6490,inputResolution:256,resnet50_w1_0
Image Classification,Single-Stream,67.12,1.371563504,Qualcomm QCS6490,inputResolution:256,mobilenetv2_w1_0
Image Classification,Single-Stream,78.37,4.585916967,Qualcomm QCS6490,inputResolution:240,resnet101_w1_0
Image Classification,Single-Stream,75.77,3.055675466,Qualcomm QCS6490,inputResolution:240,resnet50_w1_0
Image Classification,Single-Stream,66.63,1.22889828,Qualcomm QCS6490,inputResolution:240,mobilenetv2_w1_0
Image Classification,Single-Stream,79.26,4.652288612,Qualcomm QCS6490,inputResolution:224,resnet101_w1_0
Image Classification,Single-Stream,76.62,2.972582551,Qualcomm QCS6490,inputResolution:224,resnet50_w1_0
Image Classification,Single-Stream,68.14,1.255207949,Qualcomm QCS6490,inputResolution:224,mobilenetv2_w1_0
Image Classification,Single-Stream,77.75,4.291254639,Qualcomm QCS6490,inputResolution:208,resnet101_w1_0
Image Classification,Single-Stream,75.07,2.90386347,Qualcomm QCS6490,inputResolution:208,resnet50_w1_0
Image Classification,Single-Stream,65.31,1.177616314,Qualcomm QCS6490,inputResolution:208,mobilenetv2_w1_0
Image Classification,Single-Stream,76.91,4.182395042,Qualcomm QCS6490,inputResolution:192,resnet101_w1_0
Image Classification,Single-Stream,74.54,2.619508547,Qualcomm QCS6490,inputResolution:192,resnet50_w1_0
Image Classification,Single-Stream,64.89,1.109127804,Qualcomm QCS6490,inputResolution:192,mobilenetv2_w1_0
Image Classification,Single-Stream,76.26,4.08175989,Qualcomm QCS6490,inputResolution:176,resnet101_w1_0
Image Classification,Single-Stream,73.29,2.606825214,Qualcomm QCS6490,inputResolution:176,resnet50_w1_0
Image Classification,Single-Stream,64.17,1.01191457,Qualcomm QCS6490,inputResolution:176,mobilenetv2_w1_0
Image Classification,Single-Stream,74.66,4.095063023,Qualcomm QCS6490,inputResolution:160,resnet101_w1_0
Image Classification,Single-Stream,72.04,2.619317449,Qualcomm QCS6490,inputResolution:160,resnet50_w1_0
Image Classification,Single-Stream,61.43,1.085326089,Qualcomm QCS6490,inputResolution:160,mobilenetv2_w1_0
Image Classification,Single-Stream,72.6,6.580540207,Qualcomm QCS6490,inputResolution:144,resnet101_w1_0
Image Classification,Single-Stream,69.97,4.597705188,Qualcomm QCS6490,inputResolution:144,resnet50_w1_0
Image Classification,Single-Stream,58.44,2.78501344,Qualcomm QCS6490,inputResolution:144,mobilenetv2_w1_0
Image Classification,Single-Stream,69.74,5.750830043,Qualcomm QCS6490,inputResolution:128,resnet101_w1_0
Image Classification,Single-Stream,66.41,4.207107101,Qualcomm QCS6490,inputResolution:128,resnet50_w1_0
Image Classification,Single-Stream,54.08,2.2552467,Qualcomm QCS6490,inputResolution:128,mobilenetv2_w1_0
Image Classification,Single-Stream,65.02,5.505778726,Qualcomm QCS6490,inputResolution:112,resnet101_w1_0
Image Classification,Single-Stream,62.33,4.018529475,Qualcomm QCS6490,inputResolution:112,resnet50_w1_0
Image Classification,Single-Stream,48.09,2.114475381,Qualcomm QCS6490,inputResolution:112,mobilenetv2_w1_0
Image Classification,Single-Stream,56.76,5.318554519,Qualcomm QCS6490,inputResolution:96,resnet101_w1_0
Image Classification,Single-Stream,54.09,3.708190979,Qualcomm QCS6490,inputResolution:96,resnet50_w1_0
Image Classification,Single-Stream,39.36,2.056024796,Qualcomm QCS6490,inputResolution:96,mobilenetv2_w1_0
Image Classification,Single-Stream,46.76,5.31342904,Qualcomm QCS6490,inputResolution:80,resnet101_w1_0
Image Classification,Single-Stream,43.72,3.75789823,Qualcomm QCS6490,inputResolution:80,resnet50_w1_0
Image Classification,Single-Stream,29.37,1.822063903,Qualcomm QCS6490,inputResolution:80,mobilenetv2_w1_0
Image Classification,Single-Stream,31.49,5.08547459,Qualcomm QCS6490,inputResolution:64,resnet101_w1_0
Image Classification,Single-Stream,28.94,3.407326162,Qualcomm QCS6490,inputResolution:64,resnet50_w1_0
Image Classification,Single-Stream,16.4,1.716822538,Qualcomm QCS6490,inputResolution:64,mobilenetv2_w1_0
Image Classification,Single-Stream,15.94,5.058910697,Qualcomm QCS6490,inputResolution:48,resnet101_w1_0
Image Classification,Single-Stream,13.72,3.398655859,Qualcomm QCS6490,inputResolution:48,resnet50_w1_0
Image Classification,Single-Stream,6.84,1.652454055,Qualcomm QCS6490,inputResolution:48,mobilenetv2_w1_0
Image Classification,Single-Stream,74.21,10.00981733,RTX PRO 6000 Max-Q,inputResolution:448,resnet101_w1_0
Image Classification,Single-Stream,72.05,5.013419011,RTX PRO 6000 Max-Q,inputResolution:448,resnet50_w1_0
Image Classification,Single-Stream,59.46,1.512082947,RTX PRO 6000 Max-Q,inputResolution:448,mobilenetv2_w1_0
Image Classification,Single-Stream,74.86,10.02385336,RTX PRO 6000 Max-Q,inputResolution:432,resnet101_w1_0
Image Classification,Single-Stream,72.64,4.995455015,RTX PRO 6000 Max-Q,inputResolution:432,resnet50_w1_0
Image Classification,Single-Stream,59.54,1.598442669,RTX PRO 6000 Max-Q,inputResolution:432,mobilenetv2_w1_0
Image Classification,Single-Stream,75.53,9.70919663,RTX PRO 6000 Max-Q,inputResolution:416,resnet101_w1_0
Image Classification,Single-Stream,73.21,4.787307932,RTX PRO 6000 Max-Q,inputResolution:416,resnet50_w1_0
Image Classification,Single-Stream,61.12,1.363232069,RTX PRO 6000 Max-Q,inputResolution:416,mobilenetv2_w1_0
Image Classification,Single-Stream,76.07,9.494140723,RTX PRO 6000 Max-Q,inputResolution:400,resnet101_w1_0
Image Classification,Single-Stream,73.46,4.700408937,RTX PRO 6000 Max-Q,inputResolution:400,resnet50_w1_0
Image Classification,Single-Stream,61.6,1.346792721,RTX PRO 6000 Max-Q,inputResolution:400,mobilenetv2_w1_0
Image Classification,Single-Stream,76.37,7.41659117,RTX PRO 6000 Max-Q,inputResolution:384,resnet101_w1_0
Image Classification,Single-Stream,74.22,4.132983234,RTX PRO 6000 Max-Q,inputResolution:384,resnet50_w1_0
Image Classification,Single-Stream,63.23,1.226771344,RTX PRO 6000 Max-Q,inputResolution:384,mobilenetv2_w1_0
Image Classification,Single-Stream,76.91,7.44305857,RTX PRO 6000 Max-Q,inputResolution:368,resnet101_w1_0
Image Classification,Single-Stream,74.25,4.07739121,RTX PRO 6000 Max-Q,inputResolution:368,resnet50_w1_0
Image Classification,Single-Stream,63.57,1.222343752,RTX PRO 6000 Max-Q,inputResolution:368,mobilenetv2_w1_0
Image Classification,Single-Stream,76.95,7.446654164,RTX PRO 6000 Max-Q,inputResolution:352,resnet101_w1_0
Image Classification,Single-Stream,75.17,4.207944533,RTX PRO 6000 Max-Q,inputResolution:352,resnet50_w1_0
Image Classification,Single-Stream,65.04,1.117395434,RTX PRO 6000 Max-Q,inputResolution:352,mobilenetv2_w1_0
Image Classification,Single-Stream,77.49,7.499322331,RTX PRO 6000 Max-Q,inputResolution:336,resnet101_w1_0
Image Classification,Single-Stream,75.02,4.052976921,RTX PRO 6000 Max-Q,inputResolution:336,resnet50_w1_0
Image Classification,Single-Stream,64.63,1.16309778,RTX PRO 6000 Max-Q,inputResolution:336,mobilenetv2_w1_0
Image Classification,Single-Stream,77.53,6.972862216,RTX PRO 6000 Max-Q,inputResolution:320,resnet101_w1_0
Image Classification,Single-Stream,75.32,3.849498589,RTX PRO 6000 Max-Q,inputResolution:320,resnet50_w1_0
Image Classification,Single-Stream,65.69,1.06450674,RTX PRO 6000 Max-Q,inputResolution:320,mobilenetv2_w1_0
Image Classification,Single-Stream,77.86,6.912885861,RTX PRO 6000 Max-Q,inputResolution:304,resnet101_w1_0
Image Classification,Single-Stream,75.49,3.711109029,RTX PRO 6000 Max-Q,inputResolution:304,resnet50_w1_0
Image Classification,Single-Stream,66.2,1.052115003,RTX PRO 6000 Max-Q,inputResolution:304,mobilenetv2_w1_0
Image Classification,Single-Stream,77.95,6.835718421,RTX PRO 6000 Max-Q,inputResolution:288,resnet101_w1_0
Image Classification,Single-Stream,75.47,3.676205023,RTX PRO 6000 Max-Q,inputResolution:288,resnet50_w1_0
Image Classification,Single-Stream,66.86,1.034645302,RTX PRO 6000 Max-Q,inputResolution:288,mobilenetv2_w1_0
Image Classification,Single-Stream,78.03,6.782707711,RTX PRO 6000 Max-Q,inputResolution:272,resnet101_w1_0
Image Classification,Single-Stream,75.8,3.73287184,RTX PRO 6000 Max-Q,inputResolution:272,resnet50_w1_0
Image Classification,Single-Stream,66.52,0.98460157,RTX PRO 6000 Max-Q,inputResolution:272,mobilenetv2_w1_0
Image Classification,Single-Stream,78.33,6.595749817,RTX PRO 6000 Max-Q,inputResolution:256,resnet101_w1_0
Image Classification,Single-Stream,75.82,3.543225093,RTX PRO 6000 Max-Q,inputResolution:256,resnet50_w1_0
Image Classification,Single-Stream,67.15,1.026063724,RTX PRO 6000 Max-Q,inputResolution:256,mobilenetv2_w1_0
Image Classification,Single-Stream,78.16,6.599469513,RTX PRO 6000 Max-Q,inputResolution:240,resnet101_w1_0
Image Classification,Single-Stream,75.81,3.530853911,RTX PRO 6000 Max-Q,inputResolution:240,resnet50_w1_0
Image Classification,Single-Stream,66.68,1.007685412,RTX PRO 6000 Max-Q,inputResolution:240,mobilenetv2_w1_0
Image Classification,Single-Stream,79.21,6.556851929,RTX PRO 6000 Max-Q,inputResolution:224,resnet101_w1_0
Image Classification,Single-Stream,76.88,3.529393572,RTX PRO 6000 Max-Q,inputResolution:224,resnet50_w1_0
Image Classification,Single-Stream,68.22,0.93108373,RTX PRO 6000 Max-Q,inputResolution:224,mobilenetv2_w1_0
Image Classification,Single-Stream,77.71,6.512653478,RTX PRO 6000 Max-Q,inputResolution:208,resnet101_w1_0
Image Classification,Single-Stream,75.54,3.453678725,RTX PRO 6000 Max-Q,inputResolution:208,resnet50_w1_0
Image Classification,Single-Stream,65.41,0.919150883,RTX PRO 6000 Max-Q,inputResolution:208,mobilenetv2_w1_0
Image Classification,Single-Stream,76.92,6.384696439,RTX PRO 6000 Max-Q,inputResolution:192,resnet101_w1_0
Image Classification,Single-Stream,74.79,3.393161768,RTX PRO 6000 Max-Q,inputResolution:192,resnet50_w1_0
Image Classification,Single-Stream,64.82,0.920920499,RTX PRO 6000 Max-Q,inputResolution:192,mobilenetv2_w1_0
Image Classification,Single-Stream,76.34,6.456949854,RTX PRO 6000 Max-Q,inputResolution:176,resnet101_w1_0
Image Classification,Single-Stream,73.53,3.395878143,RTX PRO 6000 Max-Q,inputResolution:176,resnet50_w1_0
Image Classification,Single-Stream,64.02,0.988976235,RTX PRO 6000 Max-Q,inputResolution:176,mobilenetv2_w1_0
Image Classification,Single-Stream,75.09,6.332652321,RTX PRO 6000 Max-Q,inputResolution:160,resnet101_w1_0
Image Classification,Single-Stream,72.4,3.383583827,RTX PRO 6000 Max-Q,inputResolution:160,resnet50_w1_0
Image Classification,Single-Stream,61.85,0.919055597,RTX PRO 6000 Max-Q,inputResolution:160,mobilenetv2_w1_0
Image Classification,Single-Stream,72.72,6.362400327,RTX PRO 6000 Max-Q,inputResolution:144,resnet101_w1_0
Image Classification,Single-Stream,70.19,3.358306753,RTX PRO 6000 Max-Q,inputResolution:144,resnet50_w1_0
Image Classification,Single-Stream,58.76,0.884500137,RTX PRO 6000 Max-Q,inputResolution:144,mobilenetv2_w1_0
Image Classification,Single-Stream,69.79,6.299601279,RTX PRO 6000 Max-Q,inputResolution:128,resnet101_w1_0
Image Classification,Single-Stream,66.87,3.342831613,RTX PRO 6000 Max-Q,inputResolution:128,resnet50_w1_0
Image Classification,Single-Stream,54.45,0.908494832,RTX PRO 6000 Max-Q,inputResolution:128,mobilenetv2_w1_0
Image Classification,Single-Stream,65.36,6.217814802,RTX PRO 6000 Max-Q,inputResolution:112,resnet101_w1_0
Image Classification,Single-Stream,62.46,3.199824641,RTX PRO 6000 Max-Q,inputResolution:112,resnet50_w1_0
Image Classification,Single-Stream,48.95,0.875812787,RTX PRO 6000 Max-Q,inputResolution:112,mobilenetv2_w1_0
Image Classification,Single-Stream,56.85,6.225794469,RTX PRO 6000 Max-Q,inputResolution:96,resnet101_w1_0
Image Classification,Single-Stream,54.12,3.231360008,RTX PRO 6000 Max-Q,inputResolution:96,resnet50_w1_0
Image Classification,Single-Stream,39.67,0.925343721,RTX PRO 6000 Max-Q,inputResolution:96,mobilenetv2_w1_0
Image Classification,Single-Stream,46.83,6.155355753,RTX PRO 6000 Max-Q,inputResolution:80,resnet101_w1_0
Image Classification,Single-Stream,43.82,3.209213866,RTX PRO 6000 Max-Q,inputResolution:80,resnet50_w1_0
Image Classification,Single-Stream,29.53,0.889244451,RTX PRO 6000 Max-Q,inputResolution:80,mobilenetv2_w1_0
Image Classification,Single-Stream,31.73,6.17294796,RTX PRO 6000 Max-Q,inputResolution:64,resnet101_w1_0
Image Classification,Single-Stream,29.2,3.150145089,RTX PRO 6000 Max-Q,inputResolution:64,resnet50_w1_0
Image Classification,Single-Stream,16.8,0.850298955,RTX PRO 6000 Max-Q,inputResolution:64,mobilenetv2_w1_0
Image Classification,Single-Stream,16.08,6.151873408,RTX PRO 6000 Max-Q,inputResolution:48,resnet101_w1_0
Image Classification,Single-Stream,14.06,3.117199389,RTX PRO 6000 Max-Q,inputResolution:48,resnet50_w1_0
Image Classification,Single-Stream,6.87,0.835276788,RTX PRO 6000 Max-Q,inputResolution:48,mobilenetv2_w1_0
